timestamp,electricity_demand
2012-01-01 00:00:00,3.672549608
2012-01-01 00:30:00,3.49753903
2012-01-01 01:00:00,3.339144792
2012-01-01 01:30:00,3.204312604
2012-01-01 02:00:00,3.100042586
2012-01-01 02:30:00,3.03946753
2012-01-01 03:00:00,3.012088648
2012-01-01 03:30:00,3.017270254
2012-01-01 04:00:00,3.02667176
2012-01-01 04:30:00,3.042571012
2012-01-01 05:00:00,3.06684604
2012-01-01 05:30:00,3.130006372
2012-01-01 06:00:00,3.229404258
2012-01-01 06:30:00,3.23186119
2012-01-01 07:00:00,3.319817796
2012-01-01 07:30:00,3.431795484
2012-01-01 08:00:00,3.50232867
2012-01-01 08:30:00,3.577585806
2012-01-01 09:00:00,3.662798382
2012-01-01 09:30:00,3.69439488
2012-01-01 10:00:00,3.76573708
2012-01-01 10:30:00,3.848776214
2012-01-01 11:00:00,3.86817164
2012-01-01 11:30:00,3.858321318
2012-01-01 12:00:00,3.844509558
2012-01-01 12:30:00,3.837085448
2012-01-01 13:00:00,3.840860404
2012-01-01 13:30:00,3.847447728
2012-01-01 14:00:00,3.873634212
2012-01-01 14:30:00,3.888748828
2012-01-01 15:00:00,3.934559662
2012-01-01 15:30:00,4.039507452
2012-01-01 16:00:00,4.124618318
2012-01-01 16:30:00,4.139078976
2012-01-01 17:00:00,4.096979848
2012-01-01 17:30:00,4.029811492
2012-01-01 18:00:00,3.993029164
2012-01-01 18:30:00,3.949475578
2012-01-01 19:00:00,3.981284612
2012-01-01 19:30:00,3.965314702
2012-01-01 20:00:00,3.89795789
2012-01-01 20:30:00,3.772791124
2012-01-01 21:00:00,3.614190022
2012-01-01 21:30:00,3.572151378
2012-01-01 22:00:00,3.597783036
2012-01-01 22:30:00,3.948083686
2012-01-01 23:00:00,4.053242124
2012-01-01 23:30:00,3.753879498
2012-01-02 00:00:00,3.491805152
2012-01-02 00:30:00,3.314171014
2012-01-02 01:00:00,3.184643156
2012-01-02 01:30:00,3.078028286
2012-01-02 02:00:00,3.016604436
2012-01-02 02:30:00,3.000143298
